Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
24,458.4375,816.5625,617.8125,741.5625,781.875,643.125,814.6875,540.0,852.1875,432.1875,650.625,502.5,622.5,343.125,617.8125,244.6875,613.125,150.9375,519.375,479.0625,519.375,319.6875,528.75,221.25,538.125,122.8125,435.0,493.125,430.3125,357.1875,435.0,272.8125,435.0,179.0625,364.6875,525.9375,345.9375,418.125,336.5625,366.5625,336.5625,300.9375
25,458.4375,816.5625,613.125,741.5625,791.25,643.125,819.375,540.0,852.1875,432.1875,650.625,502.5,622.5,343.125,617.8125,244.6875,613.125,150.9375,524.0625,479.0625,524.0625,319.6875,528.75,221.25,538.125,122.8125,435.0,493.125,430.3125,357.1875,435.0,272.8125,439.6875,183.75,364.6875,530.625,345.9375,422.8125,336.5625,366.5625,331.875,300.9375
26,463.125,830.625,622.5,746.25,800.625,643.125,824.0625,535.3125,856.875,432.1875,650.625,497.8125,617.8125,343.125,617.8125,244.6875,613.125,150.9375,519.375,479.0625,519.375,319.6875,524.0625,221.25,538.125,118.125,435.0,493.125,430.3125,357.1875,435.0,272.8125,439.6875,174.375,364.6875,530.625,345.9375,418.125,336.5625,366.5625,336.5625,300.9375
27,463.125,821.25,706.875,741.5625,810.0,638.4375,828.75,535.3125,856.875,432.1875,655.3125,497.8125,603.75,338.4375,617.8125,240.0,603.75,150.9375,519.375,479.0625,514.6875,319.6875,519.375,221.25,533.4375,118.125,439.6875,493.125,430.3125,357.1875,435.0,272.8125,439.6875,174.375,369.375,530.625,345.9375,418.125,336.5625,366.5625,336.5625,300.9375
28,463.125,821.25,716.25,741.5625,810.0,633.75,828.75,535.3125,856.875,427.5,660.0,497.8125,608.4375,338.4375,617.8125,240.0,603.75,150.9375,519.375,479.0625,514.6875,319.6875,519.375,221.25,533.4375,118.125,439.6875,493.125,430.3125,357.1875,435.0,272.8125,444.375,174.375,369.375,535.3125,345.9375,418.125,336.5625,366.5625,336.5625,300.9375
29,467.8125,821.25,706.875,746.25,800.625,643.125,828.75,540.0,866.25,427.5,660.0,502.5,617.8125,343.125,617.8125,244.6875,613.125,155.625,524.0625,483.75,519.375,319.6875,524.0625,221.25,538.125,118.125,444.375,502.5,435.0,357.1875,439.6875,277.5,439.6875,179.0625,369.375,535.3125,350.625,422.8125,336.5625,366.5625,336.5625,300.9375
30,467.8125,825.9375,631.875,750.9375,791.25,647.8125,819.375,549.375,861.5625,432.1875,664.6875,511.875,617.8125,347.8125,617.8125,249.375,617.8125,160.3125,528.75,488.4375,524.0625,324.375,528.75,221.25,538.125,122.8125,439.6875,502.5,435.0,361.875,439.6875,277.5,444.375,179.0625,369.375,540.0,350.625,427.5,341.25,366.5625,336.5625,300.9375
31,463.125,830.625,631.875,755.625,791.25,647.8125,819.375,549.375,861.5625,436.875,664.6875,511.875,631.875,352.5,631.875,254.0625,631.875,160.3125,528.75,488.4375,528.75,329.0625,533.4375,225.9375,542.8125,122.8125,444.375,502.5,439.6875,366.5625,439.6875,277.5,444.375,183.75,369.375,535.3125,350.625,427.5,336.5625,366.5625,336.5625,300.9375
32,463.125,821.25,631.875,750.9375,791.25,647.8125,819.375,549.375,866.25,441.5625,660.0,507.1875,627.1875,347.8125,627.1875,249.375,622.5,155.625,528.75,483.75,528.75,324.375,533.4375,221.25,542.8125,122.8125,444.375,502.5,435.0,366.5625,439.6875,277.5,444.375,183.75,369.375,535.3125,350.625,427.5,341.25,366.5625,336.5625,300.9375
33,463.125,816.5625,617.8125,746.25,791.25,647.8125,814.6875,549.375,856.875,441.5625,641.25,497.8125,608.4375,347.8125,613.125,249.375,613.125,155.625,524.0625,479.0625,524.0625,319.6875,528.75,221.25,538.125,122.8125,439.6875,493.125,430.3125,361.875,435.0,282.1875,435.0,188.4375,369.375,535.3125,350.625,427.5,336.5625,366.5625,336.5625,305.625
