Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
47.0,14.0625,28.125,14.0625,6.629126073623883,18.75,14.0625,23.4375,14.0625,6.629126073623883,9.375,9.375,32.8125,28.125,32.8125,33.14563036811941,9.375,84.375,10.481568644530265,0.0,14.0625,28.125
48.0,4.6875,9.375,0.0,0.0,6.629126073623883,0.0,9.375,10.481568644530265,13.258252147247767,0.0,4.6875,10.481568644530265,10.481568644530265,0.0,28.512949360772904,9.375,4.6875,6.629126073623883,14.823176532039279,14.0625,14.823176532039279
49.0,4.6875,10.481568644530265,0.0,9.375,14.823176532039279,10.481568644530265,23.4375,14.0625,20.96313728906053,9.375,10.481568644530265,0.0,10.481568644530265,14.0625,28.125,9.375,4.6875,14.823176532039279,14.823176532039279,28.125,19.327057620082783
50.0,14.0625,23.4375,14.0625,4.6875,4.6875,23.90165396996618,0.0,18.75,9.375,0.0,28.125,10.481568644530265,28.512949360772904,18.75,0.0,9.375,28.125,4.6875,14.0625,14.0625,23.4375
51.0,4.6875,23.90165396996618,14.0625,4.6875,14.0625,23.4375,9.375,6.629126073623883,10.481568644530265,0.0,28.125,0.0,4.6875,18.75,0.0,0.0,0.0,4.6875,14.0625,9.375,9.375
52.0,0.0,4.6875,4.6875,14.823176532039279,4.6875,9.375,0.0,14.0625,4.6875,4.6875,4.6875,33.14563036811941,0.0,10.481568644530265,4.6875,9.375,32.8125,0.0,0.0,4.6875,18.75
53.0,0.0,0.0,9.375,14.0625,0.0,0.0,4.6875,4.6875,19.327057620082783,4.6875,9.375,33.14563036811941,28.125,9.375,0.0,9.375,37.79183319514945,9.375,9.375,14.0625,14.0625
54.0,14.0625,0.0,10.481568644530265,0.0,14.0625,18.75,9.375,9.375,10.481568644530265,9.375,23.4375,9.375,9.375,9.375,28.125,9.375,4.6875,4.6875,14.0625,14.0625,0.0
55.0,14.0625,0.0,4.6875,0.0,9.375,9.375,9.375,0.0,0.0,4.6875,4.6875,0.0,10.481568644530265,9.375,0.0,0.0,23.90165396996618,0.0,9.375,0.0,0.0
56.0,0.0,9.375,4.6875,4.6875,9.375,4.6875,9.375,0.0,23.4375,4.6875,9.375,4.6875,20.96313728906053,9.375,9.375,14.823176532039279,9.375,14.823176532039279,6.629126073623883,18.75,4.6875
57.0,14.823176532039279,0.0,9.375,0.0,9.375,4.6875,0.0,4.6875,0.0,0.0,4.6875,4.6875,9.375,0.0,0.0,9.375,0.0,10.481568644530265,4.6875,9.375,0.0
58.0,0.0,0.0,4.6875,4.6875,0.0,9.375,9.375,0.0,0.0,0.0,9.375,0.0,19.327057620082783,9.375,9.375,0.0,10.481568644530265,0.0,9.375,9.375,0.0
59.0,4.6875,0.0,4.6875,4.6875,9.375,4.6875,0.0,0.0,0.0,0.0,10.481568644530265,0.0,10.481568644530265,9.375,4.6875,9.375,4.6875,10.481568644530265,4.6875,4.6875,0.0
60.0,4.6875,9.375,0.0,23.90165396996618,0.0,9.375,4.6875,0.0,0.0,0.0,4.6875,28.125,9.375,0.0,9.375,0.0,10.481568644530265,4.6875,9.375,14.0625,0.0
61.0,10.481568644530265,10.481568644530265,10.481568644530265,4.6875,10.481568644530265,9.375,4.6875,0.0,0.0,10.481568644530265,14.0625,0.0,4.6875,9.375,0.0,4.6875,0.0,9.375,14.0625,4.6875,0.0
62.0,9.375,18.75,0.0,23.4375,10.481568644530265,9.375,0.0,0.0,14.0625,10.481568644530265,10.481568644530265,0.0,10.481568644530265,0.0,0.0,0.0,9.375,14.823176532039279,9.375,14.0625,0.0
