Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
11.0,6.562343777204889,4.640277785338919,2.0751953125,2.0751953125,4.640277785338919,4.640277785338919,2.934769355510573,2.0751953125,2.0751953125,2.934769355510573,6.562343777204889,2.934769355510573,6.562343777204889,4.150390625,6.562343777204889,4.640277785338919,2.934769355510573,4.150390625,6.2255859375,2.934769355510573,4.150390625
12.0,2.0751953125,2.0751953125,0.0,2.0751953125,2.0751953125,9.280555570677839,0.0,2.934769355510573,0.0,2.934769355510573,4.640277785338919,2.0751953125,4.640277785338919,4.640277785338919,4.640277785338919,309.21106522674415,0.0,4.640277785338919,6.2255859375,4.150390625,4.150390625
13.0,4.150390625,2.0751953125,0.0,0.0,2.0751953125,2.0751953125,4.640277785338919,0.0,4.640277785338919,8.30078125,2.934769355510573,4.150390625,2.934769355510573,0.0,0.0,307.12890625,2.0751953125,2.0751953125,2.0751953125,4.150390625,2.0751953125
14.0,4.150390625,2.934769355510573,2.934769355510573,4.150390625,2.934769355510573,6.562343777204889,4.150390625,2.0751953125,4.150390625,6.2255859375,4.150390625,2.0751953125,4.150390625,0.0,2.0751953125,2.0751953125,2.0751953125,2.934769355510573,4.150390625,2.0751953125,4.150390625
15.0,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.0751953125,2.934769355510573,0.0,2.0751953125,0.0,2.0751953125,0.0,2.0751953125,2.934769355510573,2.934769355510573,0.0,6.562343777204889,0.0,6.2255859375,2.0751953125,2.0751953125,2.0751953125
16.0,2.0751953125,2.934769355510573,0.0,2.934769355510573,2.0751953125,4.150390625,0.0,4.640277785338919,2.0751953125,0.0,2.0751953125,2.0751953125,2.0751953125,4.150390625,2.0751953125,2.0751953125,2.0751953125,4.150390625,4.640277785338919,2.934769355510573,2.0751953125
17.0,2.0751953125,2.0751953125,2.0751953125,0.0,2.0751953125,4.150390625,0.0,4.150390625,0.0,2.934769355510573,0.0,4.150390625,0.0,0.0,0.0,0.0,0.0,4.640277785338919,2.0751953125,0.0,0.0
18.0,0.0,2.0751953125,0.0,0.0,0.0,0.0,0.0,2.0751953125,0.0,2.0751953125,2.0751953125,4.150390625,2.0751953125,2.0751953125,0.0,0.0,0.0,2.0751953125,2.0751953125,0.0,0.0
19.0,2.0751953125,2.934769355510573,2.934769355510573,2.0751953125,2.934769355510573,7.482223105821267,0.0,4.640277785338919,2.0751953125,2.934769355510573,4.150390625,2.0751953125,2.0751953125,4.150390625,2.0751953125,298.83533045240927,2.934769355510573,2.0751953125,4.150390625,2.934769355510573,4.150390625
20.0,2.0751953125,4.640277785338919,2.934769355510573,4.150390625,2.934769355510573,2.0751953125,2.0751953125,2.0751953125,2.0751953125,4.150390625,2.0751953125,0.0,0.0,2.934769355510573,0.0,4.150390625,2.0751953125,288.4596130722541,2.0751953125,2.0751953125,2.934769355510573
21.0,0.0,4.640277785338919,2.934769355510573,2.0751953125,2.934769355510573,7.482223105821267,4.150390625,4.640277785338919,4.150390625,4.640277785338919,2.934769355510573,0.0,4.640277785338919,2.934769355510573,4.150390625,2.0751953125,2.0751953125,2.0751953125,4.640277785338919,2.0751953125,4.150390625
