Date,Predicted_Amplitude
2025-01-01 00:11:00,23.32468928369454
2025-01-01 00:11:05,22.81210954533026
2025-01-01 00:11:10,24.291731471221343
2025-01-01 00:11:15,25.26510093116064
2025-01-01 00:11:20,26.019059925820518
2025-01-01 00:11:25,25.710714943426066
2025-01-01 00:11:30,25.434069517062717
2025-01-01 00:11:35,24.42864284155608
2025-01-01 00:11:40,23.927998773571773
2025-01-01 00:11:45,24.019601010394727
2025-01-01 00:11:50,24.340162539722467
2025-01-01 00:11:55,24.874451484342362
2025-01-01 00:12:00,24.260441635981884
2025-01-01 00:12:05,24.471606796934676
2025-01-01 00:12:10,24.53710320555671
2025-01-01 00:12:15,24.419571669615188
2025-01-01 00:12:20,25.10757647359637
2025-01-01 00:12:25,25.05261439415236
2025-01-01 00:12:30,25.78090793217561
